iter	MultiClass
204	0.1396287256
205	0.1392957825
206	0.1391962297
207	0.1388098563
208	0.1381752673
209	0.1377778377
210	0.1374001903
211	0.1370961426
212	0.1364056979
213	0.1359560832
214	0.1354318605
215	0.1348292233
216	0.1347768145
217	0.134322948
218	0.1342585687
219	0.1342216291
220	0.133905693
221	0.1336357809
222	0.1330317176
223	0.1319964089
224	0.1315647203
225	0.1312109761
226	0.1308486747
227	0.1301915754
228	0.1296380328
229	0.1291926179
230	0.1283274616
231	0.1274807178
232	0.12723453
233	0.1267974454
234	0.1260763462
235	0.12597244
236	0.1258021165
237	0.125505127
238	0.1250154611
239	0.1248478675
240	0.1243550512
241	0.1242428906
242	0.1237224971
243	0.1231365463
244	0.1226838815
245	0.1224224545
246	0.1220139008
247	0.1215893584
248	0.1213979646
249	0.1211052205
250	0.1207094778
251	0.1205753446
252	0.1199679613
253	0.119617892
254	0.1193725911
255	0.1188767968
256	0.1187033994
257	0.1184571487
258	0.1178019336
259	0.1175121379
260	0.1170043251
261	0.1165322767
262	0.1163041722
263	0.1161732559
264	0.1154618112
265	0.1148493604
266	0.1144946034
267	0.1141296027
268	0.1139439941
269	0.1135565843
270	0.1130815266
271	0.1130034725
272	0.1128635147
273	0.1124321785
274	0.1122714639
275	0.111773864
276	0.1115044416
277	0.1112201646
278	0.1109373932
279	0.1105799868
280	0.1103731732
281	0.1102478255
282	0.1098081497
283	0.1094080477
284	0.108924778
285	0.1088463465
286	0.1087870672
287	0.1085721901
288	0.108217881
289	0.1079311699
290	0.1078171746
291	0.1074398089
292	0.1070731418
293	0.1066848055
294	0.1064087977
295	0.1063762959
296	0.1056423816
297	0.1051317689
298	0.1050287196
299	0.104967338
300	0.104844818
301	0.1044251369
302	0.1043286636
303	0.1040450901
304	0.1035728886
305	0.1033556229
306	0.1030201358
307	0.1028694056
308	0.102691429
309	0.1026002886
310	0.1025228376
311	0.1021503783
312	0.101738566
313	0.1014279483
314	0.1010876248
315	0.1007836787
316	0.1006448884
317	0.1004766436
318	0.1002655534
319	0.1000730227
320	0.09978812901
321	0.09973686227
322	0.09938113813
323	0.09912115928
324	0.09897853246
325	0.09864215564
326	0.09851358427
327	0.09840398496
328	0.09831425985
329	0.09798624811
330	0.09768699158
331	0.09748572058
332	0.09738715302
333	0.0970532616
334	0.09653606845
335	0.09601886054
336	0.09563705371
337	0.09542076466
338	0.09536365659
339	0.095021024
340	0.09471610277
341	0.094699197
342	0.09452357876
343	0.09425222074
344	0.09401125147
345	0.09373196658
346	0.09355387249
347	0.0933901564
348	0.0929767065
349	0.09288272311
350	0.09267877595
351	0.09231604125
352	0.09194787962
353	0.09174173409
354	0.09155044654
355	0.09131457199
356	0.09106595214
357	0.09071258357
358	0.0901138317
359	0.08985440007
360	0.08959550717
361	0.0892842862
362	0.08883356183
363	0.08854096568
364	0.08825060495
365	0.08809191198
366	0.08789733548
367	0.08777096647
368	0.08762658407
369	0.08727791758
370	0.08706596607
371	0.08702688282
372	0.08684397758
373	0.08647704838
374	0.08635237938
375	0.0861459298
376	0.08602466753
377	0.08578854508
378	0.08546362672
379	0.08518980933
380	0.08515459629
381	0.08488287902
382	0.08473087913
383	0.08453710002
384	0.08416310633
385	0.08392069889
386	0.08368808262
387	0.08355636899
388	0.08318317
389	0.08295122109
